statenum,QUARTER,wagebins,count,pop,cpi,MW,TREATMENT
10,2006Q1,127,3534,1278278,108.666666666667,6.5,0
10,2006Q1,92,2002,1278278,108.666666666667,6.5,0
10,2006Q1,73,7116,1278278,108.666666666667,6.5,0
10,2006Q1,33,21022,1278278,108.666666666667,6.5,0
10,2006Q1,99,5939,1278278,108.666666666667,6.5,0
10,2006Q1,102,2851,1278278,108.666666666667,6.5,0
10,2006Q1,138,1293,1278278,108.666666666667,6.5,0
10,2006Q1,70,5606,1278278,108.666666666667,6.5,0
10,2006Q1,50,4065,1278278,108.666666666667,6.5,0
10,2006Q1,48,7284,1278278,108.666666666667,6.5,0
10,2006Q1,103,1287,1278278,108.666666666667,6.5,0
10,2006Q1,160,919,1278278,108.666666666667,6.5,0
10,2006Q1,130,2236,1278278,108.666666666667,6.5,0
10,2006Q1,79,1607,1278278,108.666666666667,6.5,0
10,2006Q1,77,1893,1278278,108.666666666667,6.5,0
10,2006Q1,119,703,1278278,108.666666666667,6.5,0
10,2006Q1,93,3940,1278278,108.666666666667,6.5,0
10,2006Q1,122,2373,1278278,108.666666666667,6.5,0
10,2006Q1,97,2423,1278278,108.666666666667,6.5,0
10,2006Q1,29,2514,1278278,108.666666666667,6.5,0
10,2006Q1,89,1893,1278278,108.666666666667,6.5,0
10,2006Q1,88,2140,1278278,108.666666666667,6.5,0
10,2006Q1,150,1187,1278278,108.666666666667,6.5,0
10,2006Q1,72,3860,1278278,108.666666666667,6.5,0
10,2006Q1,83,2306,1278278,108.666666666667,6.5,0
10,2006Q1,59,4706,1278278,108.666666666667,6.5,0
10,2006Q1,31,21829,1278278,108.666666666667,6.5,0
10,2006Q1,154,2442,1278278,108.666666666667,6.5,0
10,2006Q1,133,5325,1278278,108.666666666667,6.5,0
10,2006Q1,32,5937,1278278,108.666666666667,6.5,0
10,2006Q1,125,1948,1278278,108.666666666667,6.5,0
10,2006Q1,66,7456,1278278,108.666666666667,6.5,0
10,2006Q1,71,11810,1278278,108.666666666667,6.5,0
10,2006Q1,43,9271,1278278,108.666666666667,6.5,0
10,2006Q1,107,1032,1278278,108.666666666667,6.5,0
10,2006Q1,152,897,1278278,108.666666666667,6.5,0
10,2006Q1,36,8912,1278278,108.666666666667,6.5,0
10,2006Q1,49,1342,1278278,108.666666666667,6.5,0
10,2006Q1,68,6113,1278278,108.666666666667,6.5,0
10,2006Q1,17,133,1278278,108.666666666667,6.5,0
10,2006Q1,67,2296,1278278,108.666666666667,6.5,0
10,2006Q1,137,2243,1278278,108.666666666667,6.5,0
10,2006Q1,58,2211,1278278,108.666666666667,6.5,0
10,2006Q1,129,1636,1278278,108.666666666667,6.5,0
10,2006Q1,112,1035,1278278,108.666666666667,6.5,0
10,2006Q1,52,5407,1278278,108.666666666667,6.5,0
10,2006Q1,148,1473,1278278,108.666666666667,6.5,0
10,2006Q1,145,1206,1278278,108.666666666667,6.5,0
10,2006Q1,147,2662,1278278,108.666666666667,6.5,0
10,2006Q1,157,1201,1278278,108.666666666667,6.5,0
10,2006Q1,61,6227,1278278,108.666666666667,6.5,0
10,2006Q1,101,1230,1278278,108.666666666667,6.5,0
10,2006Q1,86,6632,1278278,108.666666666667,6.5,0
10,2006Q1,56,2017,1278278,108.666666666667,6.5,0
10,2006Q1,41,2809,1278278,108.666666666667,6.5,0
10,2006Q1,149,1041,1278278,108.666666666667,6.5,0
10,2006Q1,55,2631,1278278,108.666666666667,6.5,0
10,2006Q1,69,3092,1278278,108.666666666667,6.5,0
10,2006Q1,131,907,1278278,108.666666666667,6.5,0
10,2006Q1,109,2794,1278278,108.666666666667,6.5,0
10,2006Q1,114,1142,1278278,108.666666666667,6.5,0
10,2006Q1,124,1312,1278278,108.666666666667,6.5,0
10,2006Q1,76,6375,1278278,108.666666666667,6.5,0
10,2006Q1,87,1139,1278278,108.666666666667,6.5,0
10,2006Q1,46,1805,1278278,108.666666666667,6.5,0
10,2006Q1,115,1292,1278278,108.666666666667,6.5,0
10,2006Q1,142,2778,1278278,108.666666666667,6.5,0
10,2006Q1,95,3611,1278278,108.666666666667,6.5,0
10,2006Q1,60,2768,1278278,108.666666666667,6.5,0
10,2006Q1,151,1128,1278278,108.666666666667,6.5,0
10,2006Q1,128,346,1278278,108.666666666667,6.5,0
10,2006Q1,81,425,1278278,108.666666666667,6.5,0
10,2006Q1,74,1650,1278278,108.666666666667,6.5,0
10,2006Q1,155,1433,1278278,108.666666666667,6.5,0
10,2006Q1,135,2375,1278278,108.666666666667,6.5,0
10,2006Q1,54,864,1278278,108.666666666667,6.5,0
10,2006Q1,24,950,1278278,108.666666666667,6.5,0
10,2006Q1,42,3678,1278278,108.666666666667,6.5,0
10,2006Q1,139,493,1278278,108.666666666667,6.5,0
10,2006Q1,96,420,1278278,108.666666666667,6.5,0
10,2006Q1,117,811,1278278,108.666666666667,6.5,0
10,2006Q1,62,5792,1278278,108.666666666667,6.5,0
10,2006Q1,111,1136,1278278,108.666666666667,6.5,0
10,2006Q1,22,200,1278278,108.666666666667,6.5,0
10,2006Q1,28,527,1278278,108.666666666667,6.5,0
10,2006Q1,106,2024,1278278,108.666666666667,6.5,0
10,2006Q1,120,1286,1278278,108.666666666667,6.5,0
10,2006Q1,144,498,1278278,108.666666666667,6.5,0
10,2006Q1,18,403,1278278,108.666666666667,6.5,0
10,2006Q1,90,2460,1278278,108.666666666667,6.5,0
10,2006Q1,105,1502,1278278,108.666666666667,6.5,0
10,2006Q1,123,5334,1278278,108.666666666667,6.5,0
10,2006Q1,15,232,1278278,108.666666666667,6.5,0
10,2006Q1,26,315,1278278,108.666666666667,6.5,0
10,2006Q1,140,807,1278278,108.666666666667,6.5,0
10,2006Q1,27,363,1278278,108.666666666667,6.5,0
10,2006Q1,116,880,1278278,108.666666666667,6.5,0
10,2006Q1,126,533,1278278,108.666666666667,6.5,0
10,2006Q1,110,226,1278278,108.666666666667,6.5,0
10,2006Q1,159,1243,1278278,108.666666666667,6.5,0
10,2006Q1,143,986,1278278,108.666666666667,6.5,0
10,2006Q1,51,275,1278278,108.666666666667,6.5,0
10,2006Q1,156,128,1278278,108.666666666667,6.5,0
10,2006Q1,21,102,1278278,108.666666666667,6.5,0
10,2006Q1,25,249,1278278,108.666666666667,6.5,0
10,2006Q1,23,242,1278278,108.666666666667,6.5,0
10,2006Q2,93,2670,1276361,109.133333333333,6.75,1
10,2006Q2,106,832,1276361,109.133333333333,6.75,1
10,2006Q2,60,2896,1276361,109.133333333333,6.75,1
10,2006Q2,85,8481,1276361,109.133333333333,6.75,1
10,2006Q2,29,1991,1276361,109.133333333333,6.75,1
10,2006Q2,87,1337,1276361,109.133333333333,6.75,1
10,2006Q2,33,20374,1276361,109.133333333333,6.75,1
10,2006Q2,44,5518,1276361,109.133333333333,6.75,1
10,2006Q2,47,17728,1276361,109.133333333333,6.75,1
10,2006Q2,79,5220,1276361,109.133333333333,6.75,1
10,2006Q2,35,4271,1276361,109.133333333333,6.75,1
10,2006Q2,116,1897,1276361,109.133333333333,6.75,1
10,2006Q2,109,412,1276361,109.133333333333,6.75,1
10,2006Q2,122,6587,1276361,109.133333333333,6.75,1
10,2006Q2,40,9365,1276361,109.133333333333,6.75,1
10,2006Q2,50,7233,1276361,109.133333333333,6.75,1
10,2006Q2,117,8799,1276361,109.133333333333,6.75,1
10,2006Q2,66,8745,1276361,109.133333333333,6.75,1
10,2006Q2,129,2999,1276361,109.133333333333,6.75,1
10,2006Q2,53,5614,1276361,109.133333333333,6.75,1
10,2006Q2,55,3181,1276361,109.133333333333,6.75,1
10,2006Q2,43,9662,1276361,109.133333333333,6.75,1
10,2006Q2,128,1047,1276361,109.133333333333,6.75,1
10,2006Q2,126,1785,1276361,109.133333333333,6.75,1
10,2006Q2,155,2711,1276361,109.133333333333,6.75,1
10,2006Q2,68,5559,1276361,109.133333333333,6.75,1
10,2006Q2,31,20898,1276361,109.133333333333,6.75,1
10,2006Q2,61,9238,1276361,109.133333333333,6.75,1
10,2006Q2,86,4339,1276361,109.133333333333,6.75,1
10,2006Q2,111,1649,1276361,109.133333333333,6.75,1
10,2006Q2,78,3886,1276361,109.133333333333,6.75,1
10,2006Q2,37,8495,1276361,109.133333333333,6.75,1
10,2006Q2,74,3269,1276361,109.133333333333,6.75,1
10,2006Q2,59,7382,1276361,109.133333333333,6.75,1
10,2006Q2,62,2139,1276361,109.133333333333,6.75,1
10,2006Q2,147,2251,1276361,109.133333333333,6.75,1
10,2006Q2,75,10565,1276361,109.133333333333,6.75,1
10,2006Q2,20,649,1276361,109.133333333333,6.75,1
10,2006Q2,94,7764,1276361,109.133333333333,6.75,1
10,2006Q2,54,6978,1276361,109.133333333333,6.75,1
10,2006Q2,32,11407,1276361,109.133333333333,6.75,1
10,2006Q2,52,7287,1276361,109.133333333333,6.75,1
10,2006Q2,124,2498,1276361,109.133333333333,6.75,1
10,2006Q2,84,1437,1276361,109.133333333333,6.75,1
10,2006Q2,36,7776,1276361,109.133333333333,6.75,1
10,2006Q2,152,257,1276361,109.133333333333,6.75,1
10,2006Q2,41,4955,1276361,109.133333333333,6.75,1
10,2006Q2,100,889,1276361,109.133333333333,6.75,1
10,2006Q2,39,6917,1276361,109.133333333333,6.75,1
10,2006Q2,71,14396,1276361,109.133333333333,6.75,1
10,2006Q2,104,1232,1276361,109.133333333333,6.75,1
10,2006Q2,45,5943,1276361,109.133333333333,6.75,1
10,2006Q2,95,2002,1276361,109.133333333333,6.75,1
10,2006Q2,90,2776,1276361,109.133333333333,6.75,1
10,2006Q2,91,1397,1276361,109.133333333333,6.75,1
10,2006Q2,156,1502,1276361,109.133333333333,6.75,1
10,2006Q2,99,6456,1276361,109.133333333333,6.75,1
10,2006Q2,72,6390,1276361,109.133333333333,6.75,1
10,2006Q2,80,7459,1276361,109.133333333333,6.75,1
10,2006Q2,135,5063,1276361,109.133333333333,6.75,1
10,2006Q2,110,806,1276361,109.133333333333,6.75,1
10,2006Q2,18,441,1276361,109.133333333333,6.75,1
10,2006Q2,38,20106,1276361,109.133333333333,6.75,1
10,2006Q2,108,3141,1276361,109.133333333333,6.75,1
10,2006Q2,136,3845,1276361,109.133333333333,6.75,1
10,2006Q2,133,3891,1276361,109.133333333333,6.75,1
10,2006Q2,65,5384,1276361,109.133333333333,6.75,1
10,2006Q2,121,1078,1276361,109.133333333333,6.75,1
10,2006Q2,48,3419,1276361,109.133333333333,6.75,1
10,2006Q2,27,1248,1276361,109.133333333333,6.75,1
10,2006Q2,30,6041,1276361,109.133333333333,6.75,1
10,2006Q2,92,2662,1276361,109.133333333333,6.75,1
10,2006Q2,98,1784,1276361,109.133333333333,6.75,1
10,2006Q2,64,5024,1276361,109.133333333333,6.75,1
10,2006Q2,120,1736,1276361,109.133333333333,6.75,1
10,2006Q2,101,3731,1276361,109.133333333333,6.75,1
10,2006Q2,107,1464,1276361,109.133333333333,6.75,1
10,2006Q2,143,1221,1276361,109.133333333333,6.75,1
10,2006Q2,140,2513,1276361,109.133333333333,6.75,1
10,2006Q2,58,2988,1276361,109.133333333333,6.75,1
10,2006Q2,150,2799,1276361,109.133333333333,6.75,1
10,2006Q2,142,2821,1276361,109.133333333333,6.75,1
10,2006Q2,148,759,1276361,109.133333333333,6.75,1
10,2006Q2,113,4330,1276361,109.133333333333,6.75,1
10,2006Q2,89,6044,1276361,109.133333333333,6.75,1
10,2006Q2,26,256,1276361,109.133333333333,6.75,1
10,2006Q2,145,1490,1276361,109.133333333333,6.75,1
10,2006Q2,69,2827,1276361,109.133333333333,6.75,1
10,2006Q2,88,3796,1276361,109.133333333333,6.75,1
10,2006Q2,34,5515,1276361,109.133333333333,6.75,1
10,2006Q2,24,768,1276361,109.133333333333,6.75,1
10,2006Q2,127,4136,1276361,109.133333333333,6.75,1
10,2006Q2,158,1229,1276361,109.133333333333,6.75,1
10,2006Q2,67,3273,1276361,109.133333333333,6.75,1
10,2006Q2,57,14472,1276361,109.133333333333,6.75,1
10,2006Q2,103,6056,1276361,109.133333333333,6.75,1
10,2006Q2,73,2821,1276361,109.133333333333,6.75,1
10,2006Q2,102,3477,1276361,109.133333333333,6.75,1
10,2006Q2,63,2285,1276361,109.133333333333,6.75,1
10,2006Q2,82,2913,1276361,109.133333333333,6.75,1
10,2006Q2,138,1086,1276361,109.133333333333,6.75,1
10,2006Q2,118,824,1276361,109.133333333333,6.75,1
10,2006Q2,81,2179,1276361,109.133333333333,6.75,1
10,2006Q2,77,2468,1276361,109.133333333333,6.75,1
10,2006Q2,141,4121,1276361,109.133333333333,6.75,1
10,2006Q2,49,2348,1276361,109.133333333333,6.75,1
10,2006Q2,96,1680,1276361,109.133333333333,6.75,1
10,2006Q2,42,2018,1276361,109.133333333333,6.75,1
10,2006Q2,56,1319,1276361,109.133333333333,6.75,1
10,2006Q2,132,1374,1276361,109.133333333333,6.75,1
10,2006Q2,130,1832,1276361,109.133333333333,6.75,1
10,2006Q2,149,1361,1276361,109.133333333333,6.75,1
10,2006Q2,154,642,1276361,109.133333333333,6.75,1
10,2006Q2,76,1149,1276361,109.133333333333,6.75,1
10,2006Q2,134,1479,1276361,109.133333333333,6.75,1
10,2006Q2,123,786,1276361,109.133333333333,6.75,1
10,2006Q2,25,513,1276361,109.133333333333,6.75,1
10,2006Q2,46,2233,1276361,109.133333333333,6.75,1
10,2006Q2,125,1564,1276361,109.133333333333,6.75,1
10,2006Q2,131,5253,1276361,109.133333333333,6.75,1
10,2006Q2,51,1559,1276361,109.133333333333,6.75,1
10,2006Q2,153,2580,1276361,109.133333333333,6.75,1
10,2006Q2,114,687,1276361,109.133333333333,6.75,1
10,2006Q2,137,851,1276361,109.133333333333,6.75,1
10,2006Q2,115,1018,1276361,109.133333333333,6.75,1
10,2006Q2,97,1331,1276361,109.133333333333,6.75,1
10,2006Q2,70,2696,1276361,109.133333333333,6.75,1
10,2006Q2,160,434,1276361,109.133333333333,6.75,1
10,2006Q2,17,251,1276361,109.133333333333,6.75,1
10,2006Q2,159,818,1276361,109.133333333333,6.75,1
10,2006Q2,119,575,1276361,109.133333333333,6.75,1
10,2006Q2,15,246,1276361,109.133333333333,6.75,1
10,2006Q2,105,684,1276361,109.133333333333,6.75,1
10,2006Q2,22,720,1276361,109.133333333333,6.75,1
10,2006Q2,146,1017,1276361,109.133333333333,6.75,1
10,2006Q2,144,604,1276361,109.133333333333,6.75,1
10,2006Q2,151,529,1276361,109.133333333333,6.75,1
10,2006Q2,28,353,1276361,109.133333333333,6.75,1
10,2006Q2,83,410,1276361,109.133333333333,6.75,1
10,2006Q2,112,202,1276361,109.133333333333,6.75,1
10,2006Q2,23,95,1276361,109.133333333333,6.75,1
10,2006Q2,157,129,1276361,109.133333333333,6.75,1
10,2006Q3,75,9733,1275589,109.2,6.75,0
10,2006Q3,46,3429,1275589,109.2,6.75,0
10,2006Q3,71,8691,1275589,109.2,6.75,0
10,2006Q3,87,2174,1275589,109.2,6.75,0
10,2006Q3,111,1749,1275589,109.2,6.75,0
10,2006Q3,89,5678,1275589,109.2,6.75,0
10,2006Q3,59,6396,1275589,109.2,6.75,0
10,2006Q3,41,7515,1275589,109.2,6.75,0
10,2006Q3,36,9480,1275589,109.2,6.75,0
10,2006Q3,97,1958,1275589,109.2,6.75,0
10,2006Q3,153,1357,1275589,109.2,6.75,0
10,2006Q3,33,28816,1275589,109.2,6.75,0
10,2006Q3,99,4023,1275589,109.2,6.75,0
10,2006Q3,70,7558,1275589,109.2,6.75,0
10,2006Q3,63,3690,1275589,109.2,6.75,0
10,2006Q3,38,27762,1275589,109.2,6.75,0
10,2006Q3,79,5564,1275589,109.2,6.75,0
10,2006Q3,107,2401,1275589,109.2,6.75,0
10,2006Q3,113,4969,1275589,109.2,6.75,0
10,2006Q3,30,2861,1275589,109.2,6.75,0
10,2006Q3,50,5137,1275589,109.2,6.75,0
10,2006Q3,32,28775,1275589,109.2,6.75,0
10,2006Q3,47,20371,1275589,109.2,6.75,0
10,2006Q3,73,4371,1275589,109.2,6.75,0
10,2006Q3,61,9099,1275589,109.2,6.75,0
10,2006Q3,141,3181,1275589,109.2,6.75,0
10,2006Q3,126,3086,1275589,109.2,6.75,0
10,2006Q3,76,1473,1275589,109.2,6.75,0
10,2006Q3,130,1388,1275589,109.2,6.75,0
10,2006Q3,53,4444,1275589,109.2,6.75,0
10,2006Q3,134,1074,1275589,109.2,6.75,0
10,2006Q3,31,10787,1275589,109.2,6.75,0
10,2006Q3,69,2712,1275589,109.2,6.75,0
10,2006Q3,52,9145,1275589,109.2,6.75,0
10,2006Q3,60,3773,1275589,109.2,6.75,0
10,2006Q3,91,1692,1275589,109.2,6.75,0
10,2006Q3,40,9205,1275589,109.2,6.75,0
10,2006Q3,103,6645,1275589,109.2,6.75,0
10,2006Q3,48,3474,1275589,109.2,6.75,0
10,2006Q3,62,2949,1275589,109.2,6.75,0
10,2006Q3,105,855,1275589,109.2,6.75,0
10,2006Q3,146,1580,1275589,109.2,6.75,0
10,2006Q3,43,9505,1275589,109.2,6.75,0
10,2006Q3,90,4063,1275589,109.2,6.75,0
10,2006Q3,20,263,1275589,109.2,6.75,0
10,2006Q3,49,4730,1275589,109.2,6.75,0
10,2006Q3,92,2336,1275589,109.2,6.75,0
10,2006Q3,57,9070,1275589,109.2,6.75,0
10,2006Q3,64,4718,1275589,109.2,6.75,0
10,2006Q3,95,2781,1275589,109.2,6.75,0
10,2006Q3,54,6940,1275589,109.2,6.75,0
10,2006Q3,68,8452,1275589,109.2,6.75,0
10,2006Q3,34,8607,1275589,109.2,6.75,0
10,2006Q3,85,4077,1275589,109.2,6.75,0
10,2006Q3,66,10713,1275589,109.2,6.75,0
10,2006Q3,88,5094,1275589,109.2,6.75,0
10,2006Q3,78,3626,1275589,109.2,6.75,0
10,2006Q3,96,990,1275589,109.2,6.75,0
10,2006Q3,35,6866,1275589,109.2,6.75,0
10,2006Q3,72,5026,1275589,109.2,6.75,0
10,2006Q3,45,6703,1275589,109.2,6.75,0
10,2006Q3,55,4683,1275589,109.2,6.75,0
10,2006Q3,110,1049,1275589,109.2,6.75,0
10,2006Q3,98,2799,1275589,109.2,6.75,0
10,2006Q3,157,877,1275589,109.2,6.75,0
10,2006Q3,144,2298,1275589,109.2,6.75,0
10,2006Q3,94,10153,1275589,109.2,6.75,0
10,2006Q3,80,8029,1275589,109.2,6.75,0
10,2006Q3,133,2659,1275589,109.2,6.75,0
10,2006Q3,42,5040,1275589,109.2,6.75,0
10,2006Q3,16,113,1275589,109.2,6.75,0
10,2006Q3,67,1882,1275589,109.2,6.75,0
10,2006Q3,74,3180,1275589,109.2,6.75,0
10,2006Q3,37,7004,1275589,109.2,6.75,0
10,2006Q3,93,1726,1275589,109.2,6.75,0
10,2006Q3,39,5087,1275589,109.2,6.75,0
10,2006Q3,65,3782,1275589,109.2,6.75,0
10,2006Q3,140,2452,1275589,109.2,6.75,0
10,2006Q3,82,3693,1275589,109.2,6.75,0
10,2006Q3,44,6367,1275589,109.2,6.75,0
10,2006Q3,118,644,1275589,109.2,6.75,0
10,2006Q3,81,2204,1275589,109.2,6.75,0
10,2006Q3,142,1643,1275589,109.2,6.75,0
10,2006Q3,109,820,1275589,109.2,6.75,0
10,2006Q3,120,2047,1275589,109.2,6.75,0
10,2006Q3,84,2892,1275589,109.2,6.75,0
10,2006Q3,149,1467,1275589,109.2,6.75,0
10,2006Q3,100,516,1275589,109.2,6.75,0
10,2006Q3,122,5379,1275589,109.2,6.75,0
10,2006Q3,124,2363,1275589,109.2,6.75,0
10,2006Q3,150,3769,1275589,109.2,6.75,0
10,2006Q3,104,1451,1275589,109.2,6.75,0
10,2006Q3,18,122,1275589,109.2,6.75,0
10,2006Q3,117,9575,1275589,109.2,6.75,0
10,2006Q3,125,1956,1275589,109.2,6.75,0
10,2006Q3,131,3897,1275589,109.2,6.75,0
10,2006Q3,77,3720,1275589,109.2,6.75,0
10,2006Q3,56,5867,1275589,109.2,6.75,0
10,2006Q3,86,2061,1275589,109.2,6.75,0
10,2006Q3,51,2102,1275589,109.2,6.75,0
10,2006Q3,129,2628,1275589,109.2,6.75,0
10,2006Q3,135,3352,1275589,109.2,6.75,0
10,2006Q3,127,2987,1275589,109.2,6.75,0
10,2006Q3,136,3890,1275589,109.2,6.75,0
10,2006Q3,137,2432,1275589,109.2,6.75,0
10,2006Q3,102,2469,1275589,109.2,6.75,0
10,2006Q3,58,2108,1275589,109.2,6.75,0
10,2006Q3,24,470,1275589,109.2,6.75,0
10,2006Q3,83,1240,1275589,109.2,6.75,0
10,2006Q3,23,529,1275589,109.2,6.75,0
10,2006Q3,138,1026,1275589,109.2,6.75,0
10,2006Q3,159,714,1275589,109.2,6.75,0
10,2006Q3,139,1088,1275589,109.2,6.75,0
10,2006Q3,115,1193,1275589,109.2,6.75,0
10,2006Q3,116,1723,1275589,109.2,6.75,0
10,2006Q3,29,719,1275589,109.2,6.75,0
10,2006Q3,119,328,1275589,109.2,6.75,0
10,2006Q3,156,679,1275589,109.2,6.75,0
10,2006Q3,145,379,1275589,109.2,6.75,0
10,2006Q3,108,6153,1275589,109.2,6.75,0
10,2006Q3,155,1160,1275589,109.2,6.75,0
10,2006Q3,154,1655,1275589,109.2,6.75,0
10,2006Q3,128,645,1275589,109.2,6.75,0
10,2006Q3,123,1418,1275589,109.2,6.75,0
10,2006Q3,132,3327,1275589,109.2,6.75,0
10,2006Q3,106,1292,1275589,109.2,6.75,0
10,2006Q3,27,535,1275589,109.2,6.75,0
10,2006Q3,158,881,1275589,109.2,6.75,0
10,2006Q3,25,68,1275589,109.2,6.75,0
10,2006Q3,26,288,1275589,109.2,6.75,0
10,2006Q3,143,476,1275589,109.2,6.75,0
10,2006Q3,112,1381,1275589,109.2,6.75,0
10,2006Q3,151,224,1275589,109.2,6.75,0
10,2006Q3,121,176,1275589,109.2,6.75,0
10,2006Q3,160,384,1275589,109.2,6.75,0
10,2006Q3,101,2340,1275589,109.2,6.75,0
10,2006Q3,114,212,1275589,109.2,6.75,0
10,2006Q3,147,1025,1275589,109.2,6.75,0
10,2006Q3,28,577,1275589,109.2,6.75,0
10,2006Q3,148,110,1275589,109.2,6.75,0
10,2006Q3,152,58,1275589,109.2,6.75,0
10,2006Q3,22,128,1275589,109.2,6.75,0
10,2006Q3,19,182,1275589,109.2,6.75,0
10,2006Q3,21,118,1275589,109.2,6.75,0
10,2006Q4,71,4754,1276218,109.5,6.75,0
10,2006Q4,45,3356,1276218,109.5,6.75,0
10,2006Q4,94,7241,1276218,109.5,6.75,0
10,2006Q4,69,1917,1276218,109.5,6.75,0
10,2006Q4,60,2643,1276218,109.5,6.75,0
10,2006Q4,92,1579,1276218,109.5,6.75,0
10,2006Q4,43,8119,1276218,109.5,6.75,0
10,2006Q4,44,6920,1276218,109.5,6.75,0
10,2006Q4,98,3344,1276218,109.5,6.75,0
10,2006Q4,54,5411,1276218,109.5,6.75,0
10,2006Q4,117,11459,1276218,109.5,6.75,0
10,2006Q4,105,696,1276218,109.5,6.75,0
10,2006Q4,64,4443,1276218,109.5,6.75,0
10,2006Q4,75,7663,1276218,109.5,6.75,0
10,2006Q4,80,4573,1276218,109.5,6.75,0
10,2006Q4,79,6464,1276218,109.5,6.75,0
10,2006Q4,38,21126,1276218,109.5,6.75,0
10,2006Q4,147,909,1276218,109.5,6.75,0
10,2006Q4,32,29908,1276218,109.5,6.75,0
10,2006Q4,59,7227,1276218,109.5,6.75,0
10,2006Q4,68,5040,1276218,109.5,6.75,0
10,2006Q4,85,3509,1276218,109.5,6.75,0
10,2006Q4,82,2931,1276218,109.5,6.75,0
10,2006Q4,35,9123,1276218,109.5,6.75,0
10,2006Q4,99,2110,1276218,109.5,6.75,0
10,2006Q4,73,4126,1276218,109.5,6.75,0
10,2006Q4,39,4567,1276218,109.5,6.75,0
10,2006Q4,122,4288,1276218,109.5,6.75,0
10,2006Q4,108,7687,1276218,109.5,6.75,0
10,2006Q4,37,8767,1276218,109.5,6.75,0
10,2006Q4,57,4753,1276218,109.5,6.75,0
10,2006Q4,47,17757,1276218,109.5,6.75,0
10,2006Q4,65,6545,1276218,109.5,6.75,0
10,2006Q4,40,9026,1276218,109.5,6.75,0
10,2006Q4,66,10068,1276218,109.5,6.75,0
10,2006Q4,19,199,1276218,109.5,6.75,0
10,2006Q4,33,21381,1276218,109.5,6.75,0
10,2006Q4,109,667,1276218,109.5,6.75,0
10,2006Q4,31,3184,1276218,109.5,6.75,0
10,2006Q4,55,3568,1276218,109.5,6.75,0
10,2006Q4,131,4580,1276218,109.5,6.75,0
10,2006Q4,103,5507,1276218,109.5,6.75,0
10,2006Q4,36,6119,1276218,109.5,6.75,0
10,2006Q4,52,9825,1276218,109.5,6.75,0
10,2006Q4,61,7561,1276218,109.5,6.75,0
10,2006Q4,144,1739,1276218,109.5,6.75,0
10,2006Q4,141,2212,1276218,109.5,6.75,0
10,2006Q4,112,2984,1276218,109.5,6.75,0
10,2006Q4,90,5902,1276218,109.5,6.75,0
10,2006Q4,95,1719,1276218,109.5,6.75,0
10,2006Q4,86,2456,1276218,109.5,6.75,0
10,2006Q4,34,9658,1276218,109.5,6.75,0
10,2006Q4,77,3356,1276218,109.5,6.75,0
10,2006Q4,132,4092,1276218,109.5,6.75,0
10,2006Q4,139,1917,1276218,109.5,6.75,0
10,2006Q4,102,1571,1276218,109.5,6.75,0
10,2006Q4,127,1645,1276218,109.5,6.75,0
10,2006Q4,49,3506,1276218,109.5,6.75,0
