QUARTER,PROV,WAGE_BIN,EMPLOYMENT,WAGE_MID
2006Q1,35,41,52299,10.125
2006Q1,47,79,7372,19.625
2006Q1,47,89,6612,22.125
2006Q1,48,57,126620,14.125
2006Q1,48,118,95786,29.375
2006Q1,35,120,49160,29.875
2006Q1,47,38,35267,9.375
2006Q1,46,33,8114,8.125
2006Q1,12,25,413,6.125
2006Q1,46,87,9415,21.625
2006Q1,24,127,69231,31.625
2006Q1,24,141,83099,35.125
2006Q1,48,158,16128,39.375
2006Q1,13,141,6685,35.125
2006Q1,47,121,5792,30.125
2006Q1,35,133,69456,33.125
2006Q1,10,100,2036,24.875
2006Q1,10,44,5320,10.875
2006Q1,35,76,208821,18.875
2006Q1,11,46,1122,11.375
2006Q1,46,111,5198,27.625
2006Q1,11,122,458,30.375
2006Q1,35,33,150873,8.125
2006Q1,12,36,19922,8.875
2006Q1,11,113,1950,28.125
2006Q1,48,68,55099,16.875
2006Q1,48,45,32376,11.125
2006Q1,48,73,47072,18.125
2006Q1,13,70,6518,17.375
2006Q1,10,45,4488,11.125
2006Q1,35,150,65764,37.375
2006Q1,59,56,10231,13.875
2006Q1,24,121,41288,30.125
2006Q1,47,147,4881,36.625
2006Q1,24,118,138462,29.375
2006Q1,35,112,34362,27.875
2006Q1,35,158,33950,39.375
2006Q1,35,141,111579,35.125
2006Q1,13,45,9114,11.125
2006Q1,59,121,20795,30.125
2006Q1,59,118,128567,29.375
2006Q1,48,99,52064,24.625
2006Q1,48,85,91364,21.125
2006Q1,24,37,84435,9.125
2006Q1,47,36,24490,8.875
2006Q1,24,47,222804,11.625
2006Q1,35,49,74087,12.125
2006Q1,35,68,122768,16.875
2006Q1,35,99,239496,24.625
2006Q1,48,76,56731,18.875
2006Q1,24,41,62452,10.125
2006Q1,35,118,302682,29.375
2006Q1,35,36,241728,8.875
2006Q1,35,40,182630,9.875
2006Q1,46,127,9463,31.625
2006Q1,24,80,178211,19.875
2006Q1,59,104,88022,25.875
2006Q1,12,71,27601,17.625
2006Q1,35,75,173153,18.625
2006Q1,35,56,50086,13.875
2006Q1,35,50,129164,12.375
2006Q1,35,92,77085,22.875
2006Q1,48,74,23036,18.375
2006Q1,35,97,110760,24.125
2006Q1,12,66,25029,16.375
2006Q1,59,108,36935,26.875
2006Q1,59,59,43135,14.625
2006Q1,35,114,25045,28.375
2006Q1,11,48,3989,11.875
2006Q1,59,47,165697,11.625
2006Q1,13,46,6721,11.375
2006Q1,46,52,29183,12.875
2006Q1,47,34,29842,8.375
2006Q1,10,146,1177,36.375
2006Q1,35,47,444632,11.625
2006Q1,24,79,60118,19.625
2006Q1,46,77,9855,19.125
2006Q1,24,155,45548,38.625
2006Q1,24,160,15315,39.875
2006Q1,24,117,23776,29.125
2006Q1,48,89,37059,22.125
2006Q1,10,108,2003,26.875
2006Q1,47,98,3881,24.375
2006Q1,59,66,111096,16.375
2006Q1,46,97,9452,24.125
2006Q1,48,136,50543,33.875
2006Q1,48,66,103469,16.375
2006Q1,35,44,81751,10.875
2006Q1,47,141,14897,35.125
2006Q1,24,85,199012,21.125
2006Q1,59,115,12788,28.625
2006Q1,35,73,126312,18.125
2006Q1,35,77,89942,19.125
2006Q1,47,94,13708,23.375
2006Q1,35,82,124446,20.375
2006Q1,13,79,4138,19.625
2006Q1,35,57,420314,14.125
2006Q1,47,158,1743,39.375
2006Q1,24,40,134268,9.875
2006Q1,46,136,11153,33.875
2006Q1,48,107,15674,26.625
2006Q1,59,91,54880,22.625
2006Q1,35,86,96509,21.375
2006Q1,10,38,13719,9.375
2006Q1,12,33,36309,8.125
2006Q1,35,62,215657,15.375
2006Q1,47,61,8972,15.125
2006Q1,13,59,10852,14.625
2006Q1,35,37,160081,9.125
2006Q1,46,75,11265,18.625
2006Q1,35,100,67609,24.875
2006Q1,47,134,3189,33.375
2006Q1,24,72,69344,17.875
2006Q1,48,52,100027,12.875
2006Q1,46,104,22871,25.875
2006Q1,35,35,178562,8.625
2006Q1,24,101,42694,25.125
2006Q1,48,157,12809,39.125
2006Q1,35,116,54156,28.875
2006Q1,12,118,11744,29.375
2006Q1,24,59,118423,14.625
2006Q1,35,95,199645,23.625
2006Q1,24,145,40331,36.125
2006Q1,10,30,11126,7.375
2006Q1,10,158,826,39.375
2006Q1,59,135,11741,33.625
2006Q1,46,50,19210,12.375
2006Q1,47,29,1104,7.125
2006Q1,47,60,6732,14.875
2006Q1,10,37,9659,9.125
2006Q1,48,142,23974,35.375
2006Q1,48,145,23415,36.125
2006Q1,13,33,28696,8.125
2006Q1,35,155,76949,38.625
2006Q1,48,75,40984,18.625
2006Q1,47,102,9877,25.375
2006Q1,13,82,6057,20.375
2006Q1,47,129,3401,32.125
2006Q1,46,131,4106,32.625
2006Q1,46,40,28546,9.875
2006Q1,46,64,20423,15.875
2006Q1,35,25,8169,6.125
2006Q1,48,122,17540,30.375
2006Q1,46,71,42311,17.625
2006Q1,47,71,34134,17.625
2006Q1,48,127,39564,31.625
2006Q1,10,98,1579,24.375
2006Q1,24,49,39997,12.125
2006Q1,13,38,29600,9.375
2006Q1,24,39,75805,9.625
2006Q1,47,127,5114,31.625
2006Q1,24,52,159389,12.875
2006Q1,59,97,24439,24.125
2006Q1,59,52,111044,12.875
2006Q1,13,73,10817,18.125
2006Q1,24,56,38588,13.875
2006Q1,47,109,15426,27.125
2006Q1,24,61,79848,15.125
2006Q1,59,106,25751,26.375
2006Q1,35,123,90244,30.625
2006Q1,24,126,21903,31.375
2006Q1,47,95,15292,23.625
2006Q1,47,47,32300,11.625
2006Q1,47,40,13166,9.875
2006Q1,35,83,107144,20.625
2006Q1,48,106,15657,26.375
2006Q1,47,52,16143,12.875
2006Q1,24,108,53927,26.875
2006Q1,35,87,117045,21.625
2006Q1,48,36,64769,8.875
2006Q1,24,89,83673,22.125
2006Q1,24,68,85331,16.875
2006Q1,12,53,7201,13.125
2006Q1,59,80,99632,19.875
2006Q1,13,30,12037,7.375
2006Q1,35,55,100737,13.625
2006Q1,47,28,686,6.875
2006Q1,35,145,90414,36.125
2006Q1,35,109,204101,27.125
2006Q1,24,134,23804,33.375
2006Q1,13,69,6864,17.125
2006Q1,35,142,75090,35.375
2006Q1,35,81,71266,20.125
2006Q1,12,57,23730,14.125
2006Q1,35,135,48945,33.625
2006Q1,46,138,2555,34.375
2006Q1,13,146,737,36.375
2006Q1,46,58,3430,14.375
2006Q1,59,136,64408,33.875
2006Q1,59,43,125355,10.625
2006Q1,11,33,5630,8.125
2006Q1,48,125,23567,31.125
2006Q1,48,43,101922,10.625
2006Q1,59,78,38807,19.375
2006Q1,46,57,44836,14.125
2006Q1,59,119,20880,29.625
2006Q1,24,157,19075,39.125
2006Q1,13,76,12534,18.875
2006Q1,13,91,9471,22.625
2006Q1,24,99,109130,24.625
2006Q1,35,51,45371,12.625
2006Q1,12,64,8890,15.875
2006Q1,24,88,33466,21.875
2006Q1,47,55,13339,13.625
2006Q1,13,75,10602,18.625
2006Q1,47,99,13252,24.625
2006Q1,35,66,310746,16.375
2006Q1,11,140,454,34.875
2006Q1,10,118,8227,29.375
2006Q1,46,113,21860,28.125
2006Q1,10,64,5381,15.875
2006Q1,11,69,1395,17.125
2006Q1,48,38,94416,9.375
2006Q1,24,65,41565,16.125
2006Q1,10,94,6200,23.375
2006Q1,13,81,3515,20.125
2006Q1,59,64,28526,15.875
2006Q1,24,33,25162,8.125
2006Q1,46,49,11094,12.125
2006Q1,35,89,111162,22.125
2006Q1,35,121,70285,30.125
2006Q1,13,60,5020,14.875
2006Q1,11,59,2295,14.625
2006Q1,35,139,27543,34.625
2006Q1,35,93,78398,23.125
2006Q1,13,65,6955,16.125
2006Q1,59,111,23789,27.625
2006Q1,59,99,77251,24.625
2006Q1,59,88,17273,21.875
2006Q1,59,89,40738,22.125
2006Q1,12,92,8383,22.875
2006Q1,11,75,1870,18.625
2006Q1,12,94,13665,23.375
2006Q1,10,104,6541,25.875
2006Q1,13,47,25045,11.625
2006Q1,10,34,4132,8.375
2006Q1,59,40,92085,9.875
2006Q1,59,133,16355,33.125
2006Q1,11,136,811,33.875
2006Q1,35,151,88731,37.625
2006Q1,35,147,78914,36.625
2006Q1,10,121,3054,30.125
2006Q1,11,78,1385,19.375
2006Q1,35,128,27333,31.875
2006Q1,46,116,5269,28.875
2006Q1,13,94,11830,23.375
2006Q1,46,70,7767,17.375
2006Q1,12,45,13415,11.125
2006Q1,48,71,153294,17.625
2006Q1,11,45,2873,11.125
2006Q1,59,132,45603,32.875
2006Q1,59,127,44814,31.625
2006Q1,48,94,74738,23.375
2006Q1,59,149,6502,37.125
2006Q1,12,47,35164,11.625
2006Q1,35,80,315079,19.875
2006Q1,46,91,14870,22.625
2006Q1,47,136,11504,33.875
2006Q1,12,96,2803,23.875
2006Q1,48,70,13905,17.375
2006Q1,35,125,89933,31.125
2006Q1,12,37,5506,9.125
2006Q1,59,81,16991,20.125
2006Q1,24,135,27504,33.625
2006Q1,11,47,6121,11.625
2006Q1,13,53,8844,13.125
2006Q1,59,122,26416,30.375
2006Q1,46,34,20746,8.375
2006Q1,59,45,67753,11.125
2006Q1,59,44,34782,10.875
2006Q1,48,32,2836,7.875
2006Q1,48,159,23847,39.625
2006Q1,12,112,585,27.875
2006Q1,24,93,42964,23.125
2006Q1,35,63,64384,15.625
2006Q1,13,89,4394,22.125
2006Q1,12,61,18367,15.125
2006Q1,47,143,1934,35.625
2006Q1,35,60,47476,14.875
2006Q1,35,105,27688,26.125
2006Q1,12,122,5667,30.375
2006Q1,35,20,1327,4.875
2006Q1,10,47,9814,11.625
2006Q1,35,111,65408,27.625
2006Q1,48,92,17202,22.875
2006Q1,59,120,15646,29.875
2006Q1,24,102,51286,25.375
2006Q1,47,133,3269,33.125
2006Q1,10,91,2579,22.625
2006Q1,12,34,16019,8.375
2006Q1,46,54,7253,13.375
2006Q1,12,129,3036,32.125
2006Q1,13,99,4793,24.625
2006Q1,12,79,6877,19.625
2006Q1,24,149,7323,37.125
2006Q1,24,140,26864,34.875
2006Q1,59,154,5897,38.375
2006Q1,11,57,4530,14.125
2006Q1,13,118,10813,29.375
2006Q1,48,124,11744,30.875
2006Q1,24,45,82536,11.125
2006Q1,59,142,26190,35.375
2006Q1,47,70,8102,17.375
2006Q1,12,50,17470,12.375
2006Q1,35,65,76142,16.125
2006Q1,12,39,6396,9.625
2006Q1,13,43,24969,10.625
2006Q1,46,48,22837,11.875
2006Q1,13,37,7681,9.125
2006Q1,47,50,13294,12.375
2006Q1,10,40,5259,9.875
2006Q1,11,61,2236,15.125
2006Q1,59,57,137337,14.125
2006Q1,35,124,49204,30.875
2006Q1,24,111,32837,27.625
2006Q1,46,142,8129,35.375
2006Q1,35,69,71372,17.125
2006Q1,48,39,19633,9.625
2006Q1,59,86,27655,21.375
2006Q1,47,77,6058,19.125
2006Q1,35,79,90095,19.625
2006Q1,24,154,19208,38.375
2006Q1,47,54,4411,13.375
2006Q1,47,37,9325,9.125
2006Q1,24,115,20434,28.625
2006Q1,35,146,45005,36.375
2006Q1,12,78,5448,19.375
2006Q1,48,95,67921,23.625
2006Q1,24,62,120917,15.375
2006Q1,13,90,5457,22.375
2006Q1,24,129,20838,32.125
2006Q1,48,135,9391,33.625
2006Q1,24,92,45811,22.875
2006Q1,12,40,18548,9.875
2006Q1,47,51,4483,12.625
2006Q1,47,139,1633,34.625
2006Q1,46,39,15659,9.625
2006Q1,35,70,58079,17.375
2006Q1,12,73,14848,18.125
2006Q1,24,42,59587,10.375
2006Q1,24,104,143862,25.875
2006Q1,13,85,15182,21.125
2006Q1,12,149,1931,37.125
2006Q1,46,88,7151,21.875
2006Q1,12,99,6193,24.625
2006Q1,46,31,1302,7.625
2006Q1,35,143,27182,35.625
2006Q1,35,119,34294,29.625
2006Q1,12,127,10184,31.625
2006Q1,35,115,27654,28.625
2006Q1,47,46,7229,11.375
2006Q1,59,71,137596,17.625
2006Q1,24,86,53466,21.375
2006Q1,47,43,29018,10.625
2006Q1,48,147,34781,36.625
2006Q1,47,118,20358,29.375
2006Q1,48,64,31698,15.875
2006Q1,12,80,21853,19.875
2006Q1,46,36,32993,8.875
2006Q1,10,78,4595,19.375
2006Q1,12,38,34002,9.375
2006Q1,10,35,6436,8.625
2006Q1,59,102,34464,25.375
2006Q1,59,123,51801,30.625
2006Q1,59,82,55958,20.375
2006Q1,11,137,632,34.125
2006Q1,59,145,22275,36.125
2006Q1,13,58,4517,14.375
2006Q1,48,60,19781,14.875
2006Q1,59,61,35863,15.125
2006Q1,13,71,30421,17.625
2006Q1,47,45,11989,11.125
2006Q1,35,72,52420,17.875
2006Q1,47,132,8676,32.875
2006Q1,48,33,81837,8.125
2006Q1,48,67,17551,16.625
2006Q1,35,46,65344,11.375
2006Q1,59,33,12278,8.125
2006Q1,59,39,43504,9.625
2006Q1,12,154,2688,38.375
2006Q1,10,65,3914,16.125
2006Q1,47,135,2205,33.625
2006Q1,48,34,10777,8.375
2006Q1,12,100,4083,24.875
2006Q1,48,50,35812,12.375
2006Q1,48,56,10643,13.875
2006Q1,48,88,15488,21.875
2006Q1,35,58,43873,14.375
2006Q1,13,40,11018,9.875
2006Q1,10,136,4898,33.875
2006Q1,13,41,4707,10.125
2006Q1,35,48,244160,11.875
2006Q1,46,67,6429,16.625
2006Q1,59,98,19983,24.375
2006Q1,35,88,86889,21.875
2006Q1,24,90,76138,22.375
2006Q1,12,59,14673,14.625
2006Q1,35,98,48391,24.375
2006Q1,35,74,67616,18.375
2006Q1,48,148,3449,36.875
2006Q1,35,132,102575,32.875
2006Q1,46,144,1130,35.875
2006Q1,12,58,4163,14.375
2006Q1,47,112,2876,27.875
2006Q1,35,157,46001,39.125
2006Q1,13,127,6911,31.625
2006Q1,10,141,3218,35.125
2006Q1,46,80,23546,19.875
2006Q1,10,113,4968,28.125
2006Q1,10,80,7143,19.875
2006Q1,24,53,55780,13.125
2006Q1,47,44,6606,10.875
2006Q1,10,134,2578,33.375
2006Q1,35,148,25905,36.875
2006Q1,11,44,2629,10.875
2006Q1,59,155,20867,38.625
2006Q1,10,57,12368,14.125
2006Q1,47,72,5357,17.875
2006Q1,59,141,46158,35.125
2006Q1,13,39,4972,9.625
2006Q1,13,57,28742,14.125
2006Q1,24,81,46544,20.125
2006Q1,48,109,74564,27.125
2006Q1,47,68,12286,16.875
2006Q1,47,103,2095,25.625
2006Q1,47,33,10852,8.125
2006Q1,46,53,10644,13.125
2006Q1,47,75,14424,18.625
2006Q1,46,62,24590,15.375
2006Q1,24,138,14511,34.375
2006Q1,13,74,4856,18.375
2006Q1,47,57,25816,14.125
2006Q1,48,53,13897,13.125
2006Q1,46,66,30534,16.375
2006Q1,24,97,62678,24.125
2006Q1,47,126,2727,31.375
2006Q1,12,121,4701,30.125
2006Q1,48,110,7163,27.375
2006Q1,10,85,8281,21.125
2006Q1,12,128,1131,31.875
2006Q1,47,82,9759,20.375
2006Q1,35,117,35122,29.125
2006Q1,13,121,2311,30.125
2006Q1,35,42,38287,10.375
2006Q1,10,82,3366,20.375
2006Q1,48,126,13665,31.375
2006Q1,46,83,4828,20.625
2006Q1,11,104,1587,25.875
2006Q1,48,146,14051,36.375
2006Q1,46,69,8939,17.125
2006Q1,24,70,41380,17.375
2006Q1,24,67,37907,16.625
2006Q1,48,58,16309,14.375
2006Q1,35,149,19594,37.125
2006Q1,24,136,95637,33.875
2006Q1,24,69,78353,17.125
2006Q1,10,75,5391,18.625
2006Q1,13,34,7956,8.375
2006Q1,46,103,4937,25.625
2006Q1,46,78,8837,19.375
2006Q1,46,61,14204,15.125
2006Q1,46,159,5531,39.625
2006Q1,12,142,5977,35.375
2006Q1,13,52,20527,12.875
2006Q1,10,63,2421,15.625
2006Q1,13,50,17701,12.375
2006Q1,48,115,11114,28.625
2006Q1,47,85,20448,21.125
2006Q1,35,152,24760,37.875
2006Q1,24,96,26984,23.875
2006Q1,46,76,18784,18.875
2006Q1,35,103,61899,25.625
2006Q1,24,74,51573,18.375
2006Q1,46,25,638,6.125
2006Q1,59,41,25648,10.125
2006Q1,24,100,26662,24.875
2006Q1,46,102,11670,25.375
2006Q1,35,90,123725,22.375
2006Q1,47,80,23384,19.875
2006Q1,24,35,39422,8.625
2006Q1,12,75,8511,18.625
2006Q1,46,108,4798,26.875
2006Q1,46,68,16605,16.875
2006Q1,24,73,111319,18.125
2006Q1,48,77,22291,19.125
2006Q1,48,101,29264,25.125
2006Q1,35,45,128146,11.125
2006Q1,12,141,8845,35.125
2006Q1,11,50,2016,12.375
2006Q1,13,68,8750,16.875
2006Q1,10,84,1143,20.875
2006Q1,11,55,562,13.625
2006Q1,48,49,16079,12.125
2006Q1,11,49,856,12.125
2006Q1,11,37,1674,9.125
2006Q1,10,153,422,38.125
2006Q1,35,67,37156,16.625
2006Q1,46,86,9162,21.375
2006Q1,12,51,5308,12.625
2006Q1,47,65,7548,16.125
2006Q1,47,48,16738,11.875
2006Q1,59,130,11043,32.375
2006Q1,13,125,6094,31.125
2006Q1,24,63,50226,15.625
2006Q1,10,132,5205,32.875
2006Q1,59,114,11342,28.375
2006Q1,35,126,28534,31.375
2006Q1,46,60,7788,14.875
2006Q1,47,97,6766,24.125
2006Q1,59,144,1807,35.875
2006Q1,24,50,76783,12.375
2006Q1,46,41,7219,10.125
2006Q1,48,93,20217,23.125
2006Q1,46,124,4088,30.875
2006Q1,59,157,16543,39.125
2006Q1,12,85,16813,21.125
2006Q1,24,125,39808,31.125
2006Q1,46,157,3855,39.125
2006Q1,35,154,43438,38.375
2006Q1,13,87,6854,21.625
2006Q1,59,100,22140,24.875
2006Q1,47,101,5343,25.125
2006Q1,12,35,11288,8.625
2006Q1,11,76,2396,18.875
2006Q1,46,65,9688,16.125
2006Q1,35,53,45255,13.125
2006Q1,46,122,4243,30.375
2006Q1,48,83,27068,20.625
2006Q1,13,67,6328,16.625
2006Q1,12,89,6502,22.125
2006Q1,35,140,37597,34.875
2006Q1,13,23,1178,5.625
2006Q1,46,109,18228,27.125
2006Q1,10,127,3534,31.625
2006Q1,12,68,11452,16.875
2006Q1,35,101,84967,25.125
2006Q1,24,106,47202,26.375
2006Q1,48,150,14789,37.375
2006Q1,11,130,247,32.375
2006Q1,47,66,26456,16.375
2006Q1,12,77,6101,19.125
2006Q1,11,152,483,37.875
2006Q1,46,106,6371,26.375
2006Q1,24,110,24811,27.375
2006Q1,35,134,34531,33.375
2006Q1,13,31,21423,7.625
2006Q1,11,58,1114,14.375
2006Q1,48,90,35405,22.375
2006Q1,46,125,7290,31.125
2006Q1,10,92,2002,22.875
2006Q1,46,100,5850,24.875
2006Q1,12,91,9950,22.625
2006Q1,48,86,16301,21.375
2006Q1,59,148,8791,36.875
2006Q1,12,109,12718,27.125
2006Q1,11,147,1061,36.625
2006Q1,59,79,17373,19.625
2006Q1,13,104,9238,25.875
2006Q1,10,73,7116,18.125
2006Q1,47,59,9357,14.625
2006Q1,24,159,15524,39.625
2006Q1,47,155,4069,38.625
2006Q1,59,63,17788,15.625
2006Q1,48,27,1581,6.625
2006Q1,11,32,3593,7.875
2006Q1,12,158,1190,39.375
2006Q1,11,108,609,26.875
2006Q1,48,98,22667,24.375
2006Q1,35,122,51335,30.375
2006Q1,24,48,122747,11.875
2006Q1,48,133,12893,33.125
2006Q1,13,109,9892,27.125
2006Q1,13,113,10757,28.125
2006Q1,13,84,6877,20.875
2006Q1,12,98,4601,24.375
2006Q1,24,153,12111,38.125
2006Q1,48,111,15956,27.625
2006Q1,47,104,12789,25.875
2006Q1,59,152,10791,37.875
2006Q1,47,125,7148,31.125
2006Q1,13,55,7475,13.625
2006Q1,13,112,1678,27.875
2006Q1,59,46,14918,11.375
2006Q1,35,64,99193,15.875
2006Q1,10,33,21022,8.125
2006Q1,48,155,15038,38.625
2006Q1,48,129,6450,32.125
2006Q1,48,102,37228,25.375
2006Q1,10,99,5939,24.625
2006Q1,48,91,49490,22.625
2006Q1,46,146,3228,36.375
2006Q1,11,91,1825,22.625
2006Q1,35,107,58248,26.625
2006Q1,48,149,6037,37.125
2006Q1,47,64,7976,15.875
2006Q1,13,66,18018,16.375
2006Q1,12,70,7737,17.375
2006Q1,24,76,209617,18.875
2006Q1,24,150,22087,37.375
2006Q1,59,96,19466,23.875
2006Q1,48,97,25876,24.125
2006Q1,46,79,8890,19.625
2006Q1,24,60,42894,14.875
2006Q1,10,102,2851,25.375
2006Q1,13,124,2201,30.875
2006Q1,46,89,10925,22.125
2006Q1,35,159,63370,39.625
2006Q1,48,82,40486,20.375
2006Q1,46,72,6861,17.875
2006Q1,12,139,1751,34.625
2006Q1,12,41,4197,10.125
2006Q1,59,76,90427,18.875
2006Q1,59,103,9481,25.625
2006Q1,24,124,32243,30.875
2006Q1,35,131,42207,32.625
2006Q1,48,140,13839,34.875
2006Q1,48,55,36489,13.625
2006Q1,59,35,2010,8.625
2006Q1,48,30,2982,7.375
2006Q1,47,91,13062,22.625
2006Q1,10,138,1293,34.375
2006Q1,11,64,1328,15.875
2006Q1,13,122,3327,30.375
2006Q1,13,100,3283,24.875
2006Q1,48,65,29802,16.125
2006Q1,11,38,4570,9.375
2006Q1,46,84,6407,20.875
2006Q1,47,148,801,36.875
2006Q1,10,70,5606,17.375
2006Q1,12,124,3374,30.875
2006Q1,47,140,3947,34.875
2006Q1,47,154,2322,38.375
2006Q1,24,130,29465,32.375
2006Q1,13,86,3656,21.375
2006Q1,10,50,4065,12.375
2006Q1,10,48,7284,11.875
2006Q1,46,121,8089,30.125
2006Q1,59,55,43253,13.625
2006Q1,47,84,7614,20.875
2006Q1,10,103,1287,25.625
2006Q1,47,62,15753,15.375
2006Q1,48,78,31135,19.375
2006Q1,47,153,859,38.125
2006Q1,59,50,50002,12.375
2006Q1,13,77,5246,19.125
2006Q1,47,78,20263,19.375
2006Q1,47,160,2359,39.875
2006Q1,10,160,919,39.875
2006Q1,11,65,1873,16.125
2006Q1,12,65,5693,16.125
2006Q1,46,59,17696,14.625
2006Q1,59,21,435,5.125
2006Q1,59,147,36802,36.625
2006Q1,13,88,4125,21.875
2006Q1,10,130,2236,32.375
2006Q1,35,78,104780,19.375
2006Q1,48,62,76204,15.375
2006Q1,24,120,22318,29.875
2006Q1,12,82,7402,20.375
2006Q1,47,31,1583,7.625
2006Q1,35,23,5190,5.625
2006Q1,12,67,7914,16.625
2006Q1,12,52,19759,12.875
2006Q1,12,69,9268,17.125
2006Q1,48,151,18623,37.625
2006Q1,11,118,1066,29.375
2006Q1,59,29,8957,7.125
2006Q1,10,79,1607,19.625
2006Q1,35,39,78557,9.625
2006Q1,59,105,13852,26.125
2006Q1,35,106,64957,26.375
2006Q1,46,73,16114,18.125
2006Q1,59,67,14684,16.625
2006Q1,48,96,10675,23.875
2006Q1,24,122,32469,30.375
2006Q1,10,77,1893,19.125
2006Q1,13,56,4975,13.875
2006Q1,59,32,3962,7.875
2006Q1,46,151,4628,37.625
2006Q1,13,130,2135,32.375
2006Q1,11,82,779,20.375
2006Q1,48,128,8025,31.875
2006Q1,24,51,36725,12.625
2006Q1,46,155,4722,38.625
2006Q1,35,144,12949,35.875
2006Q1,12,104,10935,25.875
2006Q1,46,120,2846,29.875
2006Q1,48,134,4597,33.375
2006Q1,11,106,450,26.375
2006Q1,13,80,15661,19.875
2006Q1,48,141,37774,35.125
2006Q1,35,28,16229,6.875
2006Q1,35,156,35519,38.875
2006Q1,24,84,30680,20.875
2006Q1,12,134,2997,33.375
2006Q1,12,63,7259,15.625
2006Q1,59,75,43145,18.625
2006Q1,12,120,3449,29.875
2006Q1,24,44,49904,10.875
2006Q1,35,137,57402,34.125
2006Q1,12,72,2969,17.875
2006Q1,46,93,6886,23.125
2006Q1,35,110,25873,27.375
2006Q1,46,74,7235,18.375
2006Q1,47,56,3642,13.875
2006Q1,12,115,543,28.625
2006Q1,24,54,46394,13.375
2006Q1,12,32,26962,7.875
2006Q1,13,32,9271,7.875
2006Q1,10,119,703,29.625
2006Q1,13,108,2195,26.875
2006Q1,46,45,16389,11.125
2006Q1,12,87,5512,21.625
2006Q1,47,152,1186,37.875
2006Q1,47,35,11900,8.625
2006Q1,46,115,3087,28.625
2006Q1,10,93,3940,23.125
2006Q1,47,106,7918,26.375
2006Q1,24,26,6470,6.375
2006Q1,47,145,5927,36.125
2006Q1,13,35,6760,8.625
2006Q1,13,103,2612,25.625
2006Q1,10,122,2373,30.375
2006Q1,11,63,1353,15.625
2006Q1,46,158,2525,39.375
2006Q1,59,92,26571,22.875
2006Q1,13,136,6711,33.875
2006Q1,47,49,8032,12.125
2006Q1,59,110,7645,27.375
2006Q1,59,125,23404,31.125
2006Q1,24,55,67683,13.625
2006Q1,11,66,5318,16.375
